ID,W,H
0,361,293
1,203,121
2,357,365
3,185,113
4,291,297
5,493,191
6,439,293
7,317,445
8,465,151
9,409,291
10,115,149
11,293,493
12,255,413
13,401,359
14,355,205
15,75,481
16,115,285
17,227,417
18,229,121
19,243,429
20,393,303
21,117,113
22,401,165
23,279,393
24,209,253
25,441,431
26,325,293
27,221,491
28,443,99
29,207,325
30,83,433
31,335,469
32,227,331
33,271,357
34,381,417
35,159,319
36,303,87
37,95,321
38,331,449
39,495,207
40,341,399
41,333,469
42,491,137
43,205,269
44,323,301
45,199,155
46,441,221
47,281,175
48,335,155
49,147,339
50,313,297
51,329,121
52,475,331
53,363,101
54,383,211
55,355,83
56,277,169
57,429,195
58,251,175
59,439,111
60,161,369
61,193,119
62,267,359
63,73,163
64,359,81
65,281,283
66,285,179
67,229,377
68,333,279
69,477,131
70,151,161
71,429,137
72,347,225
73,165,229
74,225,83
75,353,353
76,201,287
77,111,325
78,479,381
79,87,245
80,471,337
81,201,337
82,233,159
83,491,173
84,489,195
85,243,317
86,87,495
87,225,337
88,423,341
89,167,233
90,263,277
91,229,359
92,223,363
93,345,443
94,453,339
95,265,163
96,281,163
97,383,123
98,463,357
99,355,101
100,477,191
101,343,105
102,89,261
103,269,263
104,359,477
105,365,475
106,305,139
107,225,405
108,137,109
109,83,349
110,261,255
111,267,119
112,465,289
113,347,291
114,199,327
115,187,447
116,331,207
117,387,289
118,199,459
119,109,353
120,107,281
121,241,441
122,381,459
123,71,247
124,491,257
125,267,135
126,327,425
127,89,317
128,465,71
129,325,117
130,285,179
131,355,487
132,309,75
133,353,375
134,139,263
135,261,449
136,133,429
137,207,175
138,99,367
139,423,491
140,417,87
141,339,237
142,241,293
143,247,215
144,231,343
145,399,281
146,391,213
147,115,415
148,281,315
149,113,367
150,287,305
151,153,281
152,357,191
153,257,321
154,249,397
155,353,219
156,127,63
157,483,101
158,147,211
159,269,201
160,405,131
161,341,315
162,311,153
163,117,375
164,265,255
165,149,137
166,373,393
167,271,137
168,275,475
169,385,233
170,119,465
171,291,293
172,127,435
173,341,407
174,329,427
175,399,197
176,71,357
177,469,125
178,497,399
179,259,203
180,87,253
181,225,111
182,259,119
183,427,123
184,171,203
185,155,225
186,485,221
187,65,187
188,197,293
189,339,497
190,317,377
191,293,79
192,311,421
193,449,273
194,473,141
195,481,143
196,307,123
197,75,131
198,387,211
199,435,111
200,169,207
201,373,241
202,327,107
203,73,221
204,211,423
205,65,205
206,395,387
207,175,367
208,87,259
209,197,485
210,493,415
211,365,165
212,93,195
213,255,499
214,419,407
215,487,461
216,93,321
217,437,457
218,231,127
219,397,233
220,211,233
221,289,401
222,351,263
223,173,121
224,373,185
225,497,331
226,63,99
227,209,169
228,361,357
229,457,281
230,435,345
231,327,471
232,491,297
233,305,281
234,301,385
235,177,65
236,77,241
237,91,163
238,235,155
239,371,179
240,227,223
241,395,129
242,229,363
243,367,227
244,383,491
245,343,373
246,303,487
247,301,319
248,81,425
249,297,85
250,397,157
251,319,65
252,113,275
253,111,327
254,351,211
255,301,335
256,427,101
257,213,179
258,369,411
259,261,289
260,395,225
261,349,431
262,341,243
263,79,201
264,109,369
265,75,423
266,353,419
267,203,119
268,287,303
269,123,281
270,91,99
271,131,87
272,373,469
273,327,313
274,483,313
275,363,101
276,359,133
277,271,225
278,491,103
279,355,157
280,385,493
281,269,393
282,399,303
283,433,245
284,77,109
285,419,293
286,355,461
287,275,403
288,409,99
289,143,131
290,185,415
291,429,99
292,443,119
293,447,425
294,253,317
295,115,81
296,477,147
297,63,205
298,475,189
299,135,401
300,185,171
301,279,107
302,433,113
303,77,357
304,393,119
305,221,307
306,121,397
307,225,499
308,475,489
309,447,265
310,499,375
311,259,125
312,239,209
313,193,87
314,387,399
315,75,77
316,383,257
317,485,153
318,137,333
319,449,285
320,273,305
321,495,269
322,293,499
323,329,115
324,341,277
325,487,193
326,315,61
327,445,383
328,229,409
329,261,125
330,169,313
331,171,489
332,163,439
333,163,285
334,167,233
335,65,411
336,285,161
337,339,365
338,453,353
339,365,299
340,413,253
341,239,489
342,201,357
343,339,459
344,325,343
345,427,395
346,83,415
347,209,317
348,67,291
349,381,173
350,445,73
351,393,443
352,389,485
353,227,91
354,127,425
355,465,221
356,413,441
357,111,425
358,355,295
359,329,343
360,261,293
361,211,493
362,319,395
363,327,317
364,405,419
365,375,71
366,311,407
367,263,301
368,273,409
369,405,431
370,411,491
371,155,465
372,399,487
373,137,285
374,297,87
375,411,397
376,205,101
377,321,273
378,373,111
379,83,419
380,111,429
381,301,461
382,185,135
383,303,167
384,445,339
385,309,211
386,107,317
387,281,325
388,275,143
389,465,277
390,471,443
391,87,265
392,261,265
393,407,75
394,173,155
395,181,131
396,225,97
397,83,315
398,279,199
399,145,461
400,297,275
401,171,377
402,131,223
403,349,389
404,293,111
405,469,415
406,235,161
407,217,217
408,103,433
409,175,173
410,127,287
411,351,321
412,325,297
413,399,275
414,171,193
415,83,253
416,255,207
417,263,487
418,375,439
419,423,77
420,405,205
421,227,493
422,179,289
423,187,279
424,441,363
425,257,389
426,77,299
427,367,411
428,193,369
429,123,301
430,229,397
431,451,477
432,71,461
433,445,83
434,475,169
435,471,235
436,295,179
437,99,71
438,421,431
439,317,465
440,419,325
441,343,121
442,125,335
443,87,361
444,149,275
445,375,301
446,397,395
447,381,445
448,407,87
449,331,471
450,479,399
451,165,449
452,147,207
453,217,367
454,141,331
455,221,405
456,181,361
457,293,483
458,77,257
459,63,61
460,109,73
461,87,261
462,117,313
463,275,465
464,405,279
465,391,165
466,319,155
467,465,459
468,367,101
469,307,103
470,403,435
471,287,319
472,121,109
473,125,139
474,285,241
475,209,485
476,379,353
477,425,65
478,465,359
479,373,161
480,317,231
481,71,417
482,119,463
483,499,425
484,147,245
485,113,475
